Name,Set,Rarity,Id,Market Price
Red-Eyes B. Dragon,2002 Collectors Tin,Secret, BPT-005,$143.41
B. Skull Dragon,2002 Collectors Tin,Secret, BPT-006,$79.15
Summoned Skull,2002 Collectors Tin,Secret, BPT-002,$52.81
Lord of D.,2002 Collectors Tin,Secret, BPT-004,$22.97
Blue-Eyes White Dragon,2002 Collectors Tin,Secret, BPT-003,$101.20
Dark Magician,2002 Collectors Tin,Secret, BPT-001,$154.85
2002 Collectors Tin: Yami Yugi & Summoned Skull,2002 Collectors Tin,Pack, Pack,No Price
2002 Collectors Tin: Yami Yugi & Dark Magician,2002 Collectors Tin,Pack, Pack,$795.00
2002 Collectors Tin: Seto Kaiba & Blue-Eyes White Dragon,2002 Collectors Tin,Pack, Pack,No Price
2002 Collectors Tin: Joey Wheeler & B. Skull Dragon,2002 Collectors Tin,Pack, Pack,"$1,999.99"
2002 Collectors Tin: Joey Wheeler & Red-Eyes B. Dragon,2002 Collectors Tin,Pack, Pack,No Price
2002 Collectors Tin: Seto Kaiba & Lord of D.,2002 Collectors Tin,Pack, Pack,$595.00
Jinzo,2003 Collectors Tin,Secret, BPT-011,$34.47
Gearfried the Iron Knight,2003 Collectors Tin,Secret, BPT-012,$14.62
Buster Blader,2003 Collectors Tin,Secret, BPT-008,$22.40
Dark Magician,2003 Collectors Tin,Secret, BPT-007,$28.56
Blue-Eyes White Dragon,2003 Collectors Tin,Secret, BPT-009,$59.37
XYZ-Dragon Cannon,2003 Collectors Tin,Secret, BPT-010,$15.36
2003 Collectors Tin: Seto Kaiba & XYZ-Dragon Cannon,2003 Collectors Tin,Pack, Pack,$496.52
2003 Collectors Tin: Yami Yugi & Dark Magician,2003 Collectors Tin,Pack, Pack,$699.52
2003 Collectors Tin: Yami Yugi & Buster Blader,2003 Collectors Tin,Pack, Pack,$529.55
2003 Collectors Tin: Joey Wheeler & Jinzo,2003 Collectors Tin,Pack, Pack,$579.82
2003 Collectors Tin: Joey Wheeler & Gearfried the Iron Knight,2003 Collectors Tin,Pack, Pack,$444.64
2003 Collectors Tin: Seto Kaiba & Blue-Eyes White Dragon,2003 Collectors Tin,Pack, Pack,$746.69
Blade Knight,2004 Collectors Tin,Secret, CT1-EN002,$10.66
Insect Queen,2004 Collectors Tin,Secret, CT1-EN005,$7.03
Obnoxious Celtic Guard,2004 Collectors Tin,Secret, CT1-EN006,$6.56
Command Knight,2004 Collectors Tin,Secret, CT1-EN003,$4.87
Total Defense Shogun,2004 Collectors Tin,Secret, CT1-EN001,$3.75
Swift Gaia the Fierce Knight,2004 Collectors Tin,Secret, CT1-EN004,$7.84
2004 Collectors Tin: Blade Knight,2004 Collectors Tin,Pack, Pack,No Price
2004 Collectors Tin: Total Defense Shogun,2004 Collectors Tin,Pack, Pack,$450.00
2004 Collectors Tin: Obnoxious Celtic Guard,2004 Collectors Tin,Pack, Pack,No Price
2004 Collectors Tin: Swift Gaia the Fierce Knight,2004 Collectors Tin,Pack, Pack,No Price
2004 Collectors Tin: Command Knight,2004 Collectors Tin,Pack, Pack,$199.95
2004 Collectors Tin: Insect Queen,2004 Collectors Tin,Pack, Pack,No Price
Exarion Universe,2005 Collectors Tin,Secret, CT2-EN002,$4.24
Rocket Warrior,2005 Collectors Tin,Secret, CT2-EN005,$6.88
Panther Warrior,2005 Collectors Tin,Secret, CT2-EN006,$21.00
Gilford the Lightning,2005 Collectors Tin,Secret, CT2-EN001,$14.15
Dark Magician Girl,2005 Collectors Tin,Secret, CT2-EN004,$82.27
Vorse Raider,2005 Collectors Tin,Secret, CT2-EN003,$10.32
2005 Collectors Tin: Vorse Raider,2005 Collectors Tin,Pack, Pack,$450.00
2005 Collectors Tin: Panther Warrior,2005 Collectors Tin,Pack, Pack,No Price
2005 Collectors Tin: Rocket Warrior,2005 Collectors Tin,Pack, Pack,No Price
2005 Collectors Tin: Gilford the Lightning,2005 Collectors Tin,Pack, Pack,No Price
2005 Collectors Tin: Exarion Universe,2005 Collectors Tin,Pack, Pack,No Price
2005 Collectors Tin: Dark Magician Girl,2005 Collectors Tin,Pack, Pack,$700.00
Cyber Dragon,2006 Collectors Tin,Secret, CT03-EN002,$24.65
Elemental HERO Neos,2006 Collectors Tin,Secret, CT03-EN001,$22.79
Elemental HERO Shining Flare Wingman,2006 Collectors Tin,Secret, CT03-EN004,$10.68
"Raviel, Lord of Phantasms",2006 Collectors Tin,Secret, CT03-EN003,$5.99
"Hamon, Lord of Striking Thunder",2006 Collectors Tin,Secret, CT03-EN006,$14.99
"Uria, Lord of Searing Flames",2006 Collectors Tin,Secret, CT03-EN005,$10.38
"2006 Collectors Tin: Wave 1 - ""Cyber Dragon""",2006 Collectors Tin,Pack, Pack,$591.97
"2006 Collectors Tin: Wave 2 - ""Elemental HERO Shining Flare Wingman""",2006 Collectors Tin,Pack, Pack,$450.00
"2006 Collectors Tin: Wave 2 - ""Hamon, Lord of Striking Thunder""",2006 Collectors Tin,Pack, Pack,$645.00
"2006 Collectors Tin: Wave 1 - ""Raviel, Lord of Phantasms""",2006 Collectors Tin,Pack, Pack,$413.95
"2006 Collectors Tin: Wave 1 - ""Elemental HERO Neos""",2006 Collectors Tin,Pack, Pack,No Price
"2006 Collectors Tin: Wave 2 - ""Uria, Lord of Searing Flames""",2006 Collectors Tin,Pack, Pack,No Price
Crystal Beast Sapphire Pegasus,2007 Collectors Tin,Secret, CT04-EN002,$7.30
Destiny HERO - Plasma,2007 Collectors Tin,Secret, CT04-EN003,$20.85
Elemental HERO Grand Neos,2007 Collectors Tin,Secret, CT04-EN001,$4.17
Rainbow Dragon,2007 Collectors Tin,Secret, CT04-EN005,$18.65
Elemental HERO Plasma Vice,2007 Collectors Tin,Secret, CT04-EN006,$8.93
Volcanic Doomfire,2007 Collectors Tin,Secret, CT04-EN004,$8.09
2007 Collectors Tin: Rainbow Dragon,2007 Collectors Tin,Pack, Pack,No Price
2007 Collectors Tin: Volcanic Doomfire,2007 Collectors Tin,Pack, Pack,No Price
2007 Collectors Tin: Destiny HERO - Plasma,2007 Collectors Tin,Pack, Pack,No Price
2007 Collectors Tin: Crystal Beast Sapphire Pegasus,2007 Collectors Tin,Pack, Pack,No Price
2007 Collectors Tin: Elemental HERO Plasma Vice,2007 Collectors Tin,Pack, Pack,No Price
2007 Collectors Tin: Elemental HERO Grand Neos,2007 Collectors Tin,Pack, Pack,No Price
Stardust Dragon,2008 Collectors Tin,Secret, CT05-EN001,$36.75
Black Rose Dragon,2008 Collectors Tin,Secret, CT05-EN003,$19.47
Turbo Warrior,2008 Collectors Tin,Secret, CT05-EN004,$0.61
Red Dragon Archfiend,2008 Collectors Tin,Secret, CT05-EN002,$13.40
Goyo Guardian,2008 Collectors Tin,Secret, CT05-ENS03,$4.57
Nitro Warrior,2008 Collectors Tin,Secret, CT05-ENS02,$3.15
Montage Dragon,2008 Collectors Tin,Secret, CT05-ENS01,$3.10
2008 Exclusive Collectors Tin: Yusei (White Version),2008 Collectors Tin,Pack, Pack,No Price
2008 Collectors Tin: Wave 1 - Red Dragon Archfiend,2008 Collectors Tin,Pack, Pack,No Price
2008 Exclusive Collectors Tin: Yusei (Red Version),2008 Collectors Tin,Pack, Pack,No Price
2008 Exclusive Collectors Tin: Yusei (Yellow Version),2008 Collectors Tin,Pack, Pack,No Price
2008 Collectors Tin: Wave 2 - Black Rose Dragon,2008 Collectors Tin,Pack, Pack,No Price
2008 Collectors Tin: Wave 1 - Stardust Dragon,2008 Collectors Tin,Pack, Pack,No Price
2008 Collectors Tin: Wave 2 - Turbo Warrior,2008 Collectors Tin,Pack, Pack,No Price
XX-Saber Gottoms,2009 Collectors Tin,Secret, CT06-ENS04,$4.85
Power Tool Dragon,2009 Collectors Tin,Secret, CT06-EN001,$19.13
Ancient Fairy Dragon,2009 Collectors Tin,Secret, CT06-EN002,$9.51
Blackwing - Elphin the Raven,2009 Collectors Tin,Secret, CT06-ENS01,$1.06
Earthbound Immortal Wiraqocha Rasca,2009 Collectors Tin,Secret, CT06-EN004,$2.62
Majestic Star Dragon,2009 Collectors Tin,Secret, CT06-EN003,$18.44
Earthbound Immortal Aslla Piscu,2009 Collectors Tin,Secret, CT06-ENS02,$9.16
Earthbound Immortal Chacu Challhua,2009 Collectors Tin,Secret, CT06-ENS03,$10.77
2009 Exclusive Collectors Tin: Leo & Luna,2009 Collectors Tin,Pack, Pack,No Price
2009 Exclusive Collectors Tin: Yusei Fudo,2009 Collectors Tin,Pack, Pack,No Price
2009 Collectors Tin: Wave 1 - Ancient Fairy Dragon,2009 Collectors Tin,Pack, Pack,No Price
2009 Exclusive Collectors Tin: Jack Atlas,2009 Collectors Tin,Pack, Pack,No Price
2009 Collectors Tin: Wave 2 - Majestic Star Dragon,2009 Collectors Tin,Pack, Pack,$124.99
2009 Collectors Tin: Wave 1 - Power Tool Dragon,2009 Collectors Tin,Pack, Pack,No Price
2009 Exclusive Collectors Tin: Crow Hogan,2009 Collectors Tin,Pack, Pack,No Price
2009 Collectors Tin: Wave 2 - Earthbound Immortal Wiraqocha Rasca,2009 Collectors Tin,Pack, Pack,$247.98
Elemental HERO Stratos,2010 Collectors Tins,Super, CT07-EN006,$3.68
Shooting Star Dragon,2010 Collectors Tins,Secret, CT07-EN004,$15.13
Red Nova Dragon,2010 Collectors Tins,Secret, CT07-EN005,$6.42
Battle Fader,2010 Collectors Tins,Super, CT07-EN009,$0.71
Black-Winged Dragon,2010 Collectors Tins,Secret, CT07-EN002,$4.29
Blackwing - Vayu the Emblem of Honor,2010 Collectors Tins,Super, CT07-EN012,$3.33
Dreadscythe Harvester,2010 Collectors Tins,Super, CT07-EN019,$0.15
Stardust Dragon,2010 Collectors Tins,Super, CT07-EN021,$2.31
Dragon Knight Draco-Equiste,2010 Collectors Tins,Secret, CT07-EN003,$2.17
Red Dragon Archfiend,2010 Collectors Tins,Super, CT07-EN025,$2.66
Majestic Red Dragon,2010 Collectors Tins,Secret, CT07-EN001,$3.88
Dark Armed Dragon,2010 Collectors Tins,Super, CT07-EN016,$1.27
Chimeratech Fortress Dragon,2010 Collectors Tins,Super, CT07-EN013,$3.33
Magician's Valkyria,2010 Collectors Tins,Super, CT07-EN022,$5.90
The Wicked Avatar,2010 Collectors Tins,Super, CT07-EN023,$3.29
Exodius the Ultimate Forbidden Lord,2010 Collectors Tins,Super, CT07-EN024,$3.36
Van'Dalgyon The Dark Dragon Lord,2010 Collectors Tins,Super, CT07-EN007,$0.56
Gandora the Dragon of Destruction,2010 Collectors Tins,Super, CT07-EN020,$0.65
The Wicked Dreadroot,2010 Collectors Tins,Super, CT07-EN015,$4.31
Elemental HERO Ocean,2010 Collectors Tins,Super, CT07-EN018,$0.86
The Wicked Eraser,2010 Collectors Tins,Super, CT07-EN011,$3.41
"Green Baboon, Defender of the Forest",2010 Collectors Tins,Super, CT07-EN010,$0.20
Dragonic Knight,2010 Collectors Tins,Super, CT07-EN017,$0.19
2010 Collectors Tin: Wave 1 - Majestic Red Dragon,2010 Collectors Tins,Pack, Pack,$55.77
Archfiend of Gilfer,2010 Collectors Tins,Super, CT07-EN014,$0.28
2010 Collectors Tin: Wave 2 - Shooting Star Dragon,2010 Collectors Tins,Pack, Pack,$250.00
Cyber Dinosaur,2010 Collectors Tins,Super, CT07-EN008,$0.26
2010 Collectors Tin: Wave 1 - Black-Winged Dragon,2010 Collectors Tins,Pack, Pack,No Price
2010 Collectors Tin: Wave 1 - Dragon Knight Draco-Equiste,2010 Collectors Tins,Pack, Pack,$75.00
2010 Collectors Tin: Wave 2 - Red Nova Dragon,2010 Collectors Tins,Pack, Pack,No Price
Starlight Road,2010 Duelist Pack Collection Tin,Secret, DPCT-EN004,$4.72
Junk Synchron,2010 Duelist Pack Collection Tin,Ultra, DPCT-ENY01,$4.77
One for One,2010 Duelist Pack Collection Tin,Super, DPCT-ENY08,$12.59
Quillbolt Hedgehog,2010 Duelist Pack Collection Tin,Super, DPCT-ENY02,$1.28
Drill Synchron,2010 Duelist Pack Collection Tin,Ultra, DPCT-ENY04,$0.32
Scrap-Iron Scarecrow,2010 Duelist Pack Collection Tin,Ultra, DPCT-ENY09,$6.20
Level Eater,2010 Duelist Pack Collection Tin,Super, DPCT-ENY07,$4.50
Synchro Blast Wave,2010 Duelist Pack Collection Tin,Super, DPCT-ENY03,$0.23
Advance Draw,2010 Duelist Pack Collection Tin,Super, DPCT-ENY06,$0.71
Speed Warrior,2010 Duelist Pack Collection Tin,Super, DPCT-ENY05,$0.60
Pot of Duality,2011 Collectors Tins,Super, CT08-EN008,$2.97
Dark Simorgh,2011 Collectors Tins,Super, CT08-EN006,$2.96
Solemn Warning,2011 Collectors Tins,Super, CT08-EN015,$2.03
Archlord Kristya,2011 Collectors Tins,Super, CT08-EN010,$1.42
Beast King Barbaros,2011 Collectors Tins,Super, CT08-EN005,$0.29
Fossil Dyna Pachycephalo,2011 Collectors Tins,Super, CT08-EN012,$2.62
Elemental HERO Gaia,2011 Collectors Tins,Super, CT08-EN011,$4.83
Number 17: Leviathan Dragon,2011 Collectors Tins,Secret, CT08-EN001,$2.75
The Tyrant Neptune,2011 Collectors Tins,Super, CT08-EN018,$0.82
Galaxy-Eyes Photon Dragon,2011 Collectors Tins,Secret, CT08-EN003,$5.14
"Ehren, Lightsworn Monk",2011 Collectors Tins,Super, CT08-EN016,$0.31
XX-Saber Darksoul,2011 Collectors Tins,Super, CT08-EN017,$0.27
Malefic Stardust Dragon,2011 Collectors Tins,Super, CT08-EN014,$3.07
Stygian Street Patrol,2011 Collectors Tins,Super, CT08-EN007,$0.52
Wind-Up Zenmaister,2011 Collectors Tins,Secret, CT08-EN002,$0.24
Number 10: Illumiknight,2011 Collectors Tins,Secret, CT08-EN004,$0.47
"Neo-Parshath, The Sky Paladin",2011 Collectors Tins,Super, CT08-EN009,$0.18
Guardian Eatos,2011 Collectors Tins,Super, CT08-EN013,$0.19
2011 Collectors Tin: Wave 2 - Number 10: Illumiknight,2011 Collectors Tins,Pack, Pack,$49.99
2011 Collectors Tin: Wave 2 - Galaxy-Eyes Photon Dragon,2011 Collectors Tins,Pack, Pack,No Price
2011 Collectors Tin: Wave 1 - Wind-Up Zenmaister,2011 Collectors Tins,Pack, Pack,No Price
2011 Collectors Tin: Wave 1 - Number 17: Leviathan Dragon,2011 Collectors Tins,Pack, Pack,$49.99
Hundred Eyes Dragon,2011 Duelist Pack Tin,Super, DPC5-EN003,$0.48
Frozen Fitzgerald,2011 Duelist Pack Tin,Secret, DPCT-EN005,$0.32
Underground Arachnid,2011 Duelist Pack Tin,Super, DPC5-EN001,$0.20
Zeman the Ape King,2011 Duelist Pack Tin,Super, DPC5-EN002,$0.14
2011 Duelist Pack Tin,2011 Duelist Pack Tin,Pack, Pack,$19.99
Rescue Rabbit,2012 Collectors Tin,Super, CT09-EN015,$2.30
Evolzar Dolkka,2012 Collectors Tin,Secret, CT09-EN001,$11.96
Evolzar Laggia,2012 Collectors Tin,Super, CT09-EN011,$3.15
"Maxx ""C""",2012 Collectors Tin,Super, CT09-EN012,$13.03
Wind-Up Zenmaines,2012 Collectors Tin,Super, CT09-EN008,$0.39
Tour Guide From the Underworld,2012 Collectors Tin,Super, CT09-EN013,$2.73
Scrap Dragon,2012 Collectors Tin,Super, CT09-EN006,$0.52
Leviair the Sea Dragon,2012 Collectors Tin,Super, CT09-EN018,$4.20
Heroic Champion - Excalibur,2012 Collectors Tin,Secret, CT09-EN002,$1.09
Steelswarm Roach,2012 Collectors Tin,Super, CT09-EN021,$7.27
Ninja Grandmaster Hanzo,2012 Collectors Tin,Secret, CT09-EN003,$0.56
Number 16: Shock Master,2012 Collectors Tin,Super, CT09-EN014,$1.55
Photon Strike Bounzer,2012 Collectors Tin,Super, CT09-EN022,$1.42
Blizzard Princess,2012 Collectors Tin,Super, CT09-EN009,$0.32
Infernity Barrier,2012 Collectors Tin,Super, CT09-EN023,$1.12
Prophecy Destroyer,2012 Collectors Tin,Secret, CT09-EN019,$0.50
Dark Highlander,2012 Collectors Tin,Super, CT09-EN007,$0.19
Hieratic Sun Dragon Overlord of Heliopolis,2012 Collectors Tin,Secret, CT09-EN004,$6.05
Wind-Up Rabbit,2012 Collectors Tin,Super, CT09-EN010,$0.22
Malefic Truth Dragon,2012 Collectors Tin,Super, CT09-EN016,$0.74
Genex Neutron,2012 Collectors Tin,Super, CT09-EN005,$0.14
Endless Decay,2012 Collectors Tin,Super, CT09-EN020,$0.23
2012 Collectors Tin: Wave 2.5 - Prophecy Destroyer,2012 Collectors Tin,Pack, Pack,$40.62
2012 Collectors Tin: Wave 1 - Evolzar Dolkka,2012 Collectors Tin,Pack, Pack,$29.22
2012 Collectors Tin: Wave 1 - Heroic Champion - Excalibur,2012 Collectors Tin,Pack, Pack,$26.42
X-Saber Souza,2012 Collectors Tin,Super, CT09-EN017,$0.18
2012 Collectors Tin: Wave 2 - Hieratic Sun Dragon Overlord of Heliopolis,2012 Collectors Tin,Pack, Pack,$35.42
2012 Collectors Tin: Wave 2 - Ninja Grandmaster Hanzo,2012 Collectors Tin,Pack, Pack,$43.75
Kagemucha Knight,2012 Premium Collection Tin,Secret, PRC1-EN014,$7.17
Elemental HERO The Shining,2012 Premium Collection Tin,Secret, PRC1-ENV01,$5.37
Photon Sanctuary,2012 Premium Collection Tin,Secret, PRC1-EN022,$14.52
Scarred Warrior,2012 Premium Collection Tin,Super, PRC1-EN013,$0.25
Junk Forward,2012 Premium Collection Tin,Super, PRC1-EN009,$2.56
Masked HERO Acid,2012 Premium Collection Tin,Secret, PRC1-EN018,$5.46
Firewing Pegasus,2012 Premium Collection Tin,Super, PRC1-EN005,$0.34
"Blaze Fenix, the Burning Bombardment Bird",2012 Premium Collection Tin,Super, PRC1-EN012,$1.91
Photon Current,2012 Premium Collection Tin,Super, PRC1-EN023,$0.51
Masked HERO Dian,2012 Premium Collection Tin,Secret, PRC1-EN019,$4.46
Photon Wyvern,2012 Premium Collection Tin,Secret, PRC1-EN015,$0.29
Void Ogre Dragon,2012 Premium Collection Tin,Secret, PRC1-EN021,$3.81
Meteor B. Dragon,2012 Premium Collection Tin,Super, PRC1-EN004,$1.61
"Rosaria, the Stately Fallen Angel",2012 Premium Collection Tin,Secret, PRC1-EN016,$0.53
Ma'at,2012 Premium Collection Tin,Secret, PRC1-EN017,$1.56
Fiend's Mirror,2012 Premium Collection Tin,Super, PRC1-EN003,$0.18
Gravity Warrior,2012 Premium Collection Tin,Secret, PRC1-EN020,$0.50
Fallen Angel of Roses,2012 Premium Collection Tin,Super, PRC1-EN010,$0.50
Armored Bee,2012 Premium Collection Tin,Super, PRC1-EN007,$0.54
Machina Cannon,2012 Premium Collection Tin,Super, PRC1-EN011,$0.36
Number 34: Terror-Byte,2012 Premium Collection Tin,Secret, PRC1-ENV02,$0.26
Beastly Mirror Ritual,2012 Premium Collection Tin,Super, PRC1-EN002,$0.19
Great Poseidon Beetle,2012 Premium Collection Tin,Super, PRC1-EN008,$0.18
2012 Premium Collection Tin,2012 Premium Collection Tin,Pack, Pack,$37.99
Meteor Dragon,2012 Premium Collection Tin,Super, PRC1-EN001,$1.38
Quick-Span Knight,2012 Premium Collection Tin,Super, PRC1-EN006,$0.14
"Tempest, Dragon Ruler of Storms",2013 Collectors Tins,Secret, CT10-EN004,$6.32
Superdreadnought Rail Cannon Gustav Max,2013 Collectors Tins,Super, CT10-EN007,$4.15
"Redox, Dragon Ruler of Boulders",2013 Collectors Tins,Secret, CT10-EN003,$3.22
"Blaster, Dragon Ruler of Infernos",2013 Collectors Tins,Secret, CT10-EN002,$5.84
"Tidal, Dragon Ruler of Waterfalls",2013 Collectors Tins,Secret, CT10-EN001,$5.16
Number 50: Blackship of Corn,2013 Collectors Tins,Super, CT10-EN018,$0.91
Spellbook of the Master,2013 Collectors Tins,Super, CT10-EN014,$0.58
Black Luster Soldier - Envoy of the Beginning,2013 Collectors Tins,Super, CT10-EN005,$4.51
Number 88: Gimmick Puppet of Leo,2013 Collectors Tins,Super, CT10-EN013,$0.77
"Karakuri Shogun mdl 00 ""Burei""",2013 Collectors Tins,Super, CT10-EN009,$0.27
Diamond Dire Wolf,2013 Collectors Tins,Super, CT10-EN012,$0.95
Rank-Up-Magic Barian's Force,2013 Collectors Tins,Super, CT10-EN015,$0.39
Gagaga Cowboy,2013 Collectors Tins,Super, CT10-EN010,$1.54
Gear Gigant X,2013 Collectors Tins,Super, CT10-EN017,$1.28
Thunder Sea Horse,2013 Collectors Tins,Super, CT10-EN016,$0.27
Ally of Justice Catastor,2013 Collectors Tins,Super, CT10-EN006,$0.47
Number 40: Gimmick Puppet of Strings,2013 Collectors Tins,Super, CT10-EN011,$0.49
Brotherhood of the Fire Fist - Bear,2013 Collectors Tins,Super, CT10-EN008,$0.17
"2013 Collector Tin: Wave 2 - Tempest, Dragon Ruler of Storms",2013 Collectors Tins,Pack, Pack,$27.45
"2013 Collector Tin: Wave 2 - Redox, Dragon Ruler of Boulders",2013 Collectors Tins,Pack, Pack,$21.71
"2013 Collectors Tin: Wave 1 - Blaster, Dragon Ruler of Infernos",2013 Collectors Tins,Pack, Pack,$34.99
"2013 Collectors Tin: Wave 1 - Tidal, Dragon Ruler of Waterfalls",2013 Collectors Tins,Pack, Pack,No Price
2013 Collectors Tins: Wave 2 [Set of 2],2013 Collectors Tins,Pack, Pack,No Price
2013 Collectors Tins: Wave 1 [Set of 2],2013 Collectors Tins,Pack, Pack,No Price
Gagaga Magician,2013 Zexal Collection Tin,Ultimate, ZTIN-ENV01,$1.18
Number 20: Giga-Brilliant,2013 Zexal Collection Tin,Ultimate, ZTIN-ENV02,$1.11
Galaxy Expedition,2013 Zexal Collection Tin,Ultra, ZTIN-EN017,$9.97
Gagagabolt,2013 Zexal Collection Tin,Ultimate, ZTIN-ENV03,$0.63
Starliege Paladynamo,2013 Zexal Collection Tin,Ultra, ZTIN-EN014,$1.45
Galaxy Zero,2013 Zexal Collection Tin,Super, ZTIN-EN018,$1.69
Number 61: Volcasaurus,2013 Zexal Collection Tin,Ultra, ZTIN-EN002,$2.34
Galaxy Wizard,2013 Zexal Collection Tin,Ultra, ZTIN-EN011,$1.80
Accellight,2013 Zexal Collection Tin,Ultra, ZTIN-EN016,$0.53
Dimension Wanderer,2013 Zexal Collection Tin,Super, ZTIN-EN010,$0.15
Dododo Warrior,2013 Zexal Collection Tin,Super, ZTIN-EN001,$0.18
Number 56: Gold Rat,2013 Zexal Collection Tin,Super, ZTIN-EN013,$0.37
Gagagashield,2013 Zexal Collection Tin,Ultra, ZTIN-EN005,$0.55
Message in a Bottle,2013 Zexal Collection Tin,Super, ZTIN-EN015,$0.25
Number 19: Freezadon,2013 Zexal Collection Tin,Ultra, ZTIN-EN003,$1.36
Galaxy Knight,2013 Zexal Collection Tin,Ultra, ZTIN-EN012,$1.78
Zubaba Buster,2013 Zexal Collection Tin,Super, ZTIN-EN020,$0.17
Photon Slasher,2013 Zexal Collection Tin,Super, ZTIN-EN008,$0.67
Kuriphoton,2013 Zexal Collection Tin,Ultra, ZTIN-EN009,$0.28
Gagagaback,2013 Zexal Collection Tin,Super, ZTIN-EN004,$0.25
Photon Satellite,2013 Zexal Collection Tin,Super, ZTIN-EN007,$0.36
Photon Pirate,2013 Zexal Collection Tin,Super, ZTIN-EN006,$0.40
Triple Star Trion,2013 Zexal Collection Tin,Super, ZTIN-EN019,$0.21
Chachaka Archer,2013 Zexal Collection Tin,Super, ZTIN-EN021,$0.21
2013 Zexal Collection Tin,2013 Zexal Collection Tin,Pack, Pack,$14.60
Masked Chameleon,2014 Mega-Tins Mega Pack,Ultra, MP14-EN091,$1.99
Angel of Zera,2014 Mega-Tins Mega Pack,Secret, MP14-EN116,$1.60
Vampire Kingdom,2014 Mega-Tins Mega Pack,Common, MP14-EN171,$1.50
Downerd Magician,2014 Mega-Tins Mega Pack,Secret, MP14-EN225,$15.39
Mecha Phantom Beast Dracossack,2014 Mega-Tins Mega Pack,Secret, MP14-EN030,$4.62
King of the Feral Imps,2014 Mega-Tins Mega Pack,Common, MP14-EN033,$0.99
Traptrix Nepenthes,2014 Mega-Tins Mega Pack,Common, MP14-EN087,$0.39
Totem Bird,2014 Mega-Tins Mega Pack,Secret, MP14-EN056,$1.67
Evilswarm Kerykeion,2014 Mega-Tins Mega Pack,Super, MP14-EN061,$0.99
Pot of Dichotomy,2014 Mega-Tins Mega Pack,Secret, MP14-EN172,$0.81
Shared Ride,2014 Mega-Tins Mega Pack,Secret, MP14-EN231,$0.25
Madolche Nights,2014 Mega-Tins Mega Pack,Super, MP14-EN051,$1.00
Evilswarm Exciton Knight,2014 Mega-Tins Mega Pack,Secret, MP14-EN224,$5.85
Madolche Hootcake,2014 Mega-Tins Mega Pack,Super, MP14-EN018,$6.85
Mobius the Mega Monarch,2014 Mega-Tins Mega Pack,Secret, MP14-EN217,$1.04
Spellbook of Judgment,2014 Mega-Tins Mega Pack,Secret, MP14-EN039,$4.24
"Alsei, the Sylvan High Protector",2014 Mega-Tins Mega Pack,Ultra, MP14-EN221,$9.03
Gravekeeper's Shaman,2014 Mega-Tins Mega Pack,Super, MP14-EN214,$0.97
Sylvan Hermitree,2014 Mega-Tins Mega Pack,Ultra, MP14-EN201,$2.50
Traptrix Trap Hole Nightmare,2014 Mega-Tins Mega Pack,Super, MP14-EN110,$1.22
Sacred Sword of Seven Stars,2014 Mega-Tins Mega Pack,Super, MP14-EN042,$1.93
World of Prophecy,2014 Mega-Tins Mega Pack,Secret, MP14-EN081,$0.76
Ghostrick Mary,2014 Mega-Tins Mega Pack,Super, MP14-EN203,$9.25
Rainbow Kuriboh,2014 Mega-Tins Mega Pack,Secret, MP14-EN188,$4.20
Meliae of the Trees,2014 Mega-Tins Mega Pack,Secret, MP14-EN165,$0.87
Return of the Monarchs,2014 Mega-Tins Mega Pack,Ultra, MP14-EN173,$5.55
Starliege Lord Galaxion,2014 Mega-Tins Mega Pack,Super, MP14-EN097,$1.38
Crimson Knight Vampire Bram,2014 Mega-Tins Mega Pack,Ultra, MP14-EN164,$2.05
Divine Dragon Knight Felgrand,2014 Mega-Tins Mega Pack,Secret, MP14-EN166,$12.17
Rank-Up-Magic Barian's Force,2014 Mega-Tins Mega Pack,Ultra, MP14-EN036,$0.65
Bujingi Hare,2014 Mega-Tins Mega Pack,Super, MP14-EN211,$1.30
Legendary Atlantean Tridon,2014 Mega-Tins Mega Pack,Common, MP14-EN019,$0.24
Torrential Reborn,2014 Mega-Tins Mega Pack,Secret, MP14-EN046,$1.00
Granmarg the Mega Monarch,2014 Mega-Tins Mega Pack,Secret, MP14-EN158,$1.39
Imperial Tombs of Necrovalley,2014 Mega-Tins Mega Pack,Secret, MP14-EN235,$2.69
Ghostrick Lantern,2014 Mega-Tins Mega Pack,Super, MP14-EN138,$6.47
Mistake,2014 Mega-Tins Mega Pack,Secret, MP14-EN177,$2.38
Vampire Sorcerer,2014 Mega-Tins Mega Pack,Ultra, MP14-EN151,$1.84
Photon Chargeman,2014 Mega-Tins Mega Pack,Common, MP14-EN189,$0.21
Rank-Up-Magic Numeron Force,2014 Mega-Tins Mega Pack,Ultra, MP14-EN101,$2.92
Bujin Arasuda,2014 Mega-Tins Mega Pack,Ultra, MP14-EN207,$1.66
Bujin Mikazuchi,2014 Mega-Tins Mega Pack,Ultra, MP14-EN144,$1.38
Gravekeeper's Oracle,2014 Mega-Tins Mega Pack,Ultra, MP14-EN215,$2.60
Transmodify,2014 Mega-Tins Mega Pack,Secret, MP14-EN106,$2.00
Pinpoint Guard,2014 Mega-Tins Mega Pack,Secret, MP14-EN044,$0.84
Shadow Vampire,2014 Mega-Tins Mega Pack,Secret, MP14-EN152,$1.75
